TEMP_C,PRESSURE_PA,PING_TIME_US
22.10,99248,10239
22.10,99243,10266
22.10,99242,10266
22.10,99240,10238
22.10,99250,10318
22.10,99249,10368
22.10,99249,10285
22.10,99248,10292
22.10,99243,10214
22.10,99242,10266
22.10,99245,10318
22.10,99246,10266
22.10,99248,10292
22.10,99246,10238
22.10,99244,10317
22.10,99249,10212
22.10,99244,10291
22.10,99245,10315
22.10,99243,10293
22.10,99245,10266
22.10,99240,10267
22.10,99248,10214
22.10,99242,10241
22.10,99245,10413
22.10,99247,10292
22.10,99254,10238
22.10,99248,10394
22.10,99243,10287
22.10,99242,10293
22.10,99248,10213
22.10,99251,10241
22.10,99246,10214
22.10,99242,10214
22.10,99246,10266
22.10,99245,10214
22.10,99243,10292
22.10,99244,10267
22.10,99249,10292
22.10,99247,10266
22.10,99241,10293
22.10,99249,10338
22.10,99249,10266
22.10,99247,10266
22.10,99246,10213
22.10,99252,10388
22.10,99246,10343
22.10,99247,10318
22.10,99247,10238
22.10,99249,10238
22.10,99250,10238
22.10,99239,10238
22.10,99250,10264
22.10,99242,10394
22.10,99249,10238
22.10,99249,10239
22.10,99237,10266
22.10,99250,10213
22.10,99242,10266
22.10,99247,10238
22.10,99244,10266
22.10,99249,10213
22.10,99247,10318
22.10,99247,10266
22.10,99239,10241
22.10,99247,10241
22.10,99240,10264
22.10,99244,10264
22.10,99246,10361
22.10,99247,10266
22.10,99247,10367
22.10,99239,10340
22.10,99238,10289
22.10,99246,10238
22.10,99243,10238
22.10,99244,10209
22.10,99246,10418
22.10,99246,10238
22.10,99244,10238
22.10,99244,10233
22.10,99241,10289
22.10,99247,10266
22.10,99246,10420
22.10,99249,10287
22.10,99237,10213
22.10,99240,10293
22.10,99247,10242
22.10,99243,10344
22.10,99245,10368
22.10,99247,10264
22.10,99249,10285
22.10,99251,10264
22.10,99245,10238
22.10,99244,10371
22.10,99246,10214
22.10,99244,10419
22.10,99244,10293
22.10,99243,10241
22.10,99245,10242
22.10,99246,10242
22.10,99245,10266
22.10,99244,10319
22.10,99246,10294
22.10,99246,10268
22.10,99242,10241
22.10,99245,10214
22.10,99246,10241
22.10,99243,10208
22.10,99246,10396
22.10,99245,10292
22.10,99246,10267
22.10,99244,10310
22.10,99235,10292
22.10,99245,10293
22.10,99246,10213
22.10,99255,10239
22.10,99244,10238
22.10,99244,10238
22.10,99246,10238
22.10,99245,10291
22.10,99251,10289
22.10,99241,10335
22.10,99248,10390
22.10,99249,10235
22.10,99248,10392
22.10,99253,10256
22.10,99248,10291
22.10,99253,10238
22.10,99250,10239
22.10,99247,10317
22.10,99248,10210
22.10,99256,10238
22.10,99249,10317
22.10,99247,10210
22.10,99252,10266
22.10,99252,10266
22.10,99245,10241
22.10,99251,10266
22.10,99249,10214
22.10,99250,10213
22.10,99255,10241
22.10,99246,10241
22.10,99245,10268
22.10,99244,10214
22.00,99244,10238
22.10,99243,10344
22.10,99242,10264
22.00,99244,10214
22.00,99245,10241
22.00,99248,10266
22.00,99246,10368
22.00,99248,10292
22.00,99255,10213
22.00,99253,10266
22.00,99239,10213
22.00,99250,10214
22.00,99249,10318
22.00,99249,10213
22.00,99253,10242
22.00,99243,10422
22.00,99247,10214
22.00,99246,10242
22.00,99248,10213
22.00,99253,10259
22.00,99250,10264
22.00,99248,10317
22.00,99249,10266
22.00,99248,10291
22.10,99246,10293
22.00,99249,10241
22.00,99248,10363
22.00,99249,10266
22.10,99251,10213
22.00,99251,10266
22.00,99242,10213
22.00,99252,10242
22.00,99249,10264
22.00,99250,10420
22.00,99246,10318
22.00,99244,10293
22.00,99248,10267
22.00,99243,10241
22.00,99245,10241
22.00,99248,10293
22.00,99243,10318
22.00,99250,10293
22.00,99247,10266
22.00,99245,10260
22.00,99250,10292
22.00,99251,10293
22.00,99247,10292
22.00,99246,10292
22.00,99245,10213
22.00,99241,10241
22.00,99251,10214
22.00,99248,10241
22.00,99251,10293
22.00,99243,10293
22.00,99243,10241
22.00,99248,10239
22.00,99248,10317
22.00,99254,10266
22.00,99248,10212
22.00,99249,10238
22.00,99245,10264
22.00,99247,10210
22.00,99244,10238
22.00,99251,10209
22.00,99248,10288
22.00,99251,10360
22.00,99248,10263
22.00,99241,10238
22.00,99248,10237
22.00,99241,10238
22.00,99249,10238
22.00,99252,10238
22.00,99254,10264
22.00,99251,10368
22.00,99248,10292
22.00,99247,10266
22.00,99246,10292
22.00,99245,10213
22.00,99249,10339
22.00,99247,10268
22.00,99250,10447
22.00,99249,10371
22.00,99248,10293
22.00,99247,10371
22.00,99253,10241
22.00,99243,10241
22.00,99249,10287
22.00,99240,10266
22.00,99251,10344
22.00,99251,10344
22.00,99251,10214
22.00,99252,10293
22.00,99239,10241
22.00,99241,10241
22.00,99252,10293
22.00,99246,10369
22.00,99240,10368
22.00,99249,10266
22.00,99240,10241
22.00,99241,10394
22.00,99238,10214
22.00,99248,10344
22.00,99245,10292
22.00,99252,10266
22.00,99255,10266
22.00,99252,10213
22.00,99239,10238
22.00,99250,10266
22.00,99239,10239
22.00,99239,10266
22.00,99240,10213
22.00,99243,10213
22.00,99251,10344
22.00,99254,10338
22.00,99242,10264
22.00,99247,10293
22.00,99242,10241
22.00,99242,10216
22.00,99245,10293
22.00,99249,10422
22.00,99244,10260
22.00,99247,10213
22.00,99243,10213
22.00,99242,10338
22.00,99249,10213
22.00,99238,10264
22.00,99249,10266
22.00,99248,10212
22.00,99250,10241
22.00,99246,10241
22.00,99248,10241
22.00,99245,10319
22.00,99243,10186
22.00,99243,10221
22.00,99245,10218
22.00,99243,10217
22.00,99243,10297
22.00,99241,10218
22.00,99248,10419
22.00,99244,10271
22.00,99241,10296
22.00,99242,10216
22.00,99245,10268
22.00,99242,10243
22.00,99248,10297
22.00,99248,10245
22.00,99247,10217
22.00,99252,10268
22.00,99252,10239
22.00,99242,10291
22.00,99241,10292
22.50,99240,10241
23.10,99243,10239
23.50,99244,10263
23.80,99239,10417
24.00,99246,10208
24.30,99244,10259
24.50,99240,10284
24.60,99247,10229
24.70,99243,10338
24.80,99249,10258
24.80,99253,10259
24.90,99248,10234
24.90,99246,10364
25.00,99244,10237
25.00,99250,10228
25.00,99231,10234
25.00,99242,10262
24.90,99239,10289
24.80,99249,10210
24.80,99249,10289
24.70,99248,10237
24.70,99249,10264
24.60,99246,10237
24.50,99236,10237
24.50,99240,10237
24.40,99242,10364
24.40,99235,10264
24.30,99245,10210
24.30,99244,10264
24.20,99242,10263
24.20,99246,10239
24.10,99242,10368
24.10,99247,10264
24.00,99246,10368
24.00,99244,10392
23.90,99235,10237
23.90,99242,10262
23.90,99246,10210
23.80,99242,10238
23.80,99250,10237
23.80,99240,10392
23.70,99242,10339
23.70,99244,10210
23.70,99236,10289
23.70,99239,10313
23.60,99248,10308
23.60,99245,10234
23.60,99242,10338
23.60,99247,10260
23.50,99243,10260
23.50,99245,10260
23.50,99245,10209
23.50,99250,10255
23.40,99246,10234
23.40,99247,10389
23.40,99252,10338
23.40,99247,10262
23.40,99244,10338
23.30,99249,10262
23.30,99241,10365
23.30,99241,10264
23.30,99243,10237
23.30,99244,10264
23.20,99247,10283
23.20,99252,10315
23.20,99250,10237
23.20,99249,10365
